LOCATION,TIME,Value
DEU,2015,9.802
DEU,2016,9.932
DEU,2017,10.193
DEU,2018,10.373
GRC,1990,3.555
GRC,1991,3.218
GRC,1992,2.773
GRC,1993,2.586
GRC,1994,2.974
GRC,1995,3.235
GRC,1996,3.171
GRC,1997,3.704
GRC,1998,4.359
GRC,1999,4.547
GRC,2000,4.338
GRC,2001,4.006
GRC,2002,4.279
GRC,2003,4.089
GRC,2004,4.102
GRC,2005,4.376
GRC,2006,4.359
GRC,2007,4.536
GRC,2008,4.568
GRC,2009,4.472
GRC,2010,3.988
GRC,2011,4.776
GRC,2012,6.963
GRC,2013,5.967
GRC,2014,5.909
GRC,2015,5.729
GRC,2016,5.895
GRC,2017,6.23
HUN,1991,6.622
HUN,1992,6.725
HUN,1993,7.041
HUN,1994,6.717
HUN,1995,6.576
HUN,1996,6.889
HUN,1997,6.341
HUN,1998,6.281
HUN,1999,6.687
HUN,2000,7.151
HUN,2001,7.357
HUN,2002,7.553
HUN,2003,7.015
HUN,2004,6.568
HUN,2005,6.543
HUN,2006,6.653
HUN,2007,7.159
HUN,2008,7.604
HUN,2009,7.297
HUN,2010,6.497
HUN,2011,5.024
HUN,2012,5.636
HUN,2013,5.324
HUN,2014,5.233
HUN,2015,5.279
HUN,2016,5.225
HUN,2017,5.411
HUN,2018,5.175
ISL,1990,8.186
ISL,1991,8.174
ISL,1992,8.388
ISL,1993,9.026
ISL,1994,9.326
ISL,1995,9.552
ISL,1996,10.262
ISL,1997,10.423
ISL,1998,11.286
ISL,1999,12.02
ISL,2000,12.502
ISL,2001,13.111
ISL,2002,13.071
ISL,2003,13.358
ISL,2004,13.261
ISL,2005,13.731
ISL,2006,13.513
ISL,2007,13.066
ISL,2008,12.423
ISL,2009,11.813
ISL,2010,11.796
ISL,2011,12.549
ISL,2012,12.731
ISL,2013,13.202
ISL,2014,13.049
ISL,2015,12.99
ISL,2016,13.547
ISL,2017,14.254
ISL,2018,14.512
IRL,1990,10.711
IRL,1991,11.027
IRL,1992,11.078
IRL,1993,11.096
IRL,1994,11.235
IRL,1995,10.148
IRL,1996,10.283
IRL,1997,10.191
IRL,1998,9.83
IRL,1999,9.714
IRL,2000,9.826
IRL,2001,8.867
IRL,2002,7.628
IRL,2003,7.913
IRL,2004,8.495
IRL,2005,8.56
IRL,2006,9.108
IRL,2007,9.192
IRL,2008,8.556
IRL,2009,8.317
IRL,2010,8.103
IRL,2011,8.536
IRL,2012,8.933
IRL,2013,9.019
IRL,2014,9.099
IRL,2015,7.292
IRL,2016,7.366
IRL,2017,7.026
IRL,2018,6.99
ITA,1990,9.561
ITA,1991,9.71
ITA,1992,10.448
ITA,1993,11.021
ITA,1994,9.824
ITA,1995,10.035
ITA,1996,10.062
ITA,1997,10.508
ITA,1998,10.043
ITA,1999,10.789
ITA,2000,10.08
ITA,2001,10.293
ITA,2002,10.117
ITA,2003,10.086
ITA,2004,10.012
ITA,2005,9.938
ITA,2006,10.272
ITA,2007,10.695
ITA,2008,11.2
ITA,2009,11.172
ITA,2010,11.25
ITA,2011,11.042
ITA,2012,11.631
ITA,2013,11.591
ITA,2014,11.231
ITA,2015,11.175
ITA,2016,10.872
ITA,2017,10.823
ITA,2018,10.77
JPN,1990,7.843
JPN,1991,7.759
JPN,1992,6.969
JPN,1993,7.065
JPN,1994,6.054
JPN,1995,5.772
JPN,1996,5.42
JPN,1997,5.589
JPN,1998,5.041
JPN,1999,4.744
JPN,2000,5.427
JPN,2001,5.304
JPN,2002,4.588
JPN,2003,4.295
JPN,2004,4.468
JPN,2005,4.798
JPN,2006,4.985
JPN,2007,5.387
JPN,2008,5.454
JPN,2009,5.187
JPN,2010,4.938
JPN,2011,5.05
JPN,2012,5.248
JPN,2013,5.549
JPN,2014,5.722
JPN,2015,5.788
JPN,2016,5.713
JPN,2017,5.904
JPN,2018,5.998
KOR,1990,3.763
KOR,1991,3.435
KOR,1992,3.144
KOR,1993,3.272
KOR,1994,3.299
KOR,1995,3.462
KOR,1996,3.382
KOR,1997,3.119
KOR,1998,3.646
KOR,1999,3.088
KOR,2000,3.141
KOR,2001,3.075
KOR,2002,2.794
KOR,2003,2.867
KOR,2004,2.981
KOR,2005,2.997
KOR,2006,3.581
KOR,2007,4.148
KOR,2008,3.704
KOR,2009,3.353
KOR,2010,3.327
KOR,2011,3.549
KOR,2012,3.716
KOR,2013,3.729
KOR,2014,4.001
KOR,2015,4.322
KOR,2016,4.612
KOR,2017,4.804
KOR,2018,5.233
LUX,1990,8.064
